,SK_ID_CURR,TARGET,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_CITY_NOT_LIVE_CITY,EXT_SOURCE_2,EXT_SOURCE_3,DEF_30_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_7,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,ANNUITY_INCOME_PERC,PAYMENT_RATE
296552,443575,1,1,1,0,0.035792,-14377,-4375.0,-4376,1,0,1,1,0,10,0,1,0.5730649239073784,0.1604889306273446,0.0,0.0,-1655.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,0.07276,0.07276
216317,350650,0,1,0,1,0.020713,-16750,-428.0,-286,1,1,1,1,0,14,0,0,0.4768606543706932,0.633031641417419,0.0,0.0,-798.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.12075,0.0483
27980,132528,0,1,0,0,0.018029,-18554,-146.0,-2087,1,1,1,0,0,6,0,0,0.6626645363768122,0.4294236843421945,0.0,0.0,-167.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.051363950276243
170615,297739,1,1,0,1,0.031329,-13890,-7014.0,-4684,1,0,1,0,0,13,0,0,0.3952817440991865,0.4276573700350293,0.0,0.0,-2148.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.1871,0.029467351245787
215613,349832,0,1,0,1,0.030755,-11902,-885.0,-4110,1,0,1,0,0,10,0,0,0.7176766488776711,0.6446794549585961,0.0,0.0,-2027.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,3.0,0.0,5.0,0.09504,0.09504
247221,386073,0,1,0,0,0.0145199999999999,-22324,-10499.0,-3932,1,0,1,0,0,7,0,0,0.3442507292017128,0.5108529061800121,0.0,0.0,-1589.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,6.0,0.36255,0.0293562753036437
157799,282911,0,1,0,0,0.00733,-10888,-727.0,-2625,1,0,1,0,0,10,0,0,0.6702426142968374,0.5108529061800121,0.0,0.0,-802.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.3418888888888889,0.033203125
58921,168299,0,0,0,0,0.02461,-21061,-11599.0,-4569,1,0,1,1,0,16,0,0,0.7759155348953956,0.4668640059537032,1.0,1.0,-792.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.176775,0.0380898513251454
21495,125040,0,1,0,0,0.04622,-13482,-1433.0,-4574,1,0,1,0,0,10,0,0,0.7403760412088023,0.5478104658520093,0.0,0.0,-729.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.2073714285714285,0.0463379130701261
222032,357211,0,1,0,0,0.0196889999999999,-17019,-6196.0,-569,1,0,1,0,0,14,0,0,0.6896259356491925,0.7713615919194317,0.0,0.0,-844.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.2798857142857143,0.0560033844429961
301477,449274,0,0,1,1,0.028663,-12279,-2043.0,-4616,1,0,1,0,0,7,0,1,0.6531118551867213,0.5108529061800121,0.0,0.0,-2499.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.082525,0.0522310126582278
161438,287157,0,0,1,1,0.072508,-9519,-4247.0,-2190,1,0,1,0,0,14,0,0,0.4108805346405397,0.5108529061800121,0.0,0.0,-462.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,0.15555,0.0265029859519691
279652,423989,0,0,1,0,0.01885,-13573,-2299.0,-4320,1,0,1,1,0,13,0,0,0.6246534451780984,0.6109913280868294,0.0,0.0,-2062.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.18275,0.02924
295616,442497,0,1,1,0,0.032561,-13587,-802.0,-4428,1,0,1,0,0,13,0,0,0.7236501412058823,0.5108529061800121,0.0,0.0,-544.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.073675,0.0491166666666666
276750,420722,0,0,0,0,0.028663,-10074,-4132.0,-271,1,0,1,1,0,9,0,0,0.3513487834226955,0.445396241560834,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.3488,0.0792727272727272
248064,387035,0,0,0,0,0.04622,-19406,-167.0,-223,1,0,1,0,0,10,0,0,0.6562954740544494,0.4668640059537032,0.0,0.0,-3218.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.1386909090909091,0.0331754585111056
207501,340517,0,1,0,1,0.032561,-9956,-4779.0,-2596,1,1,1,1,0,11,0,0,0.6909256349540552,0.0969483170508572,0.0,0.0,-1507.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1515857142857143,0.10611
200762,332721,0,1,0,1,0.02461,-24326,-3518.0,-3969,1,0,1,0,0,18,0,0,0.7346229841635166,0.7324033228040929,0.0,0.0,-1489.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,2.0,4.0,0.1053333333333333,0.0558303886925795
110081,227676,0,0,1,1,0.018801,-11285,-4977.0,-3795,1,0,1,0,0,7,0,0,0.0855968255711163,0.046629335970417,1.0,1.0,-2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.1366,0.0265170633225919
201960,334116,1,1,1,0,0.028663,-10374,-876.0,-1764,1,0,1,0,0,9,0,0,0.6010466106860429,0.0701088438273582,1.0,0.0,-805.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1249529411764705,0.042484
70391,181662,0,1,0,1,0.022625,-15433,-9537.0,-4117,1,0,1,0,1,14,0,0,0.389806696550676,0.5190973382084597,0.0,0.0,-1498.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.11132,0.0488876006780673
22615,126315,0,1,0,0,0.018634,-17238,-10005.0,-787,1,0,1,0,0,12,0,0,0.4707709551310815,0.5108529061800121,0.0,0.0,-1246.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.1059,0.0643377885783718
56729,165742,0,1,0,0,0.014464,-15198,-427.0,-4389,1,0,1,0,0,3,0,0,0.6513112839976943,0.5108529061800121,0.0,0.0,-419.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.35865,0.1081313314037626
9224,110727,0,0,1,0,0.019101,-12221,-3580.0,-4177,1,0,1,0,0,11,0,0,0.6907107845008129,0.3622772470384314,0.0,0.0,-705.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,7.0,0.1691,0.0733813574032286
61995,171901,0,1,0,0,0.006852,-17392,-1712.0,-868,1,0,1,0,0,4,0,0,0.7564424364470753,0.5108529061800121,0.0,0.0,-604.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.2205882352941176,0.05
20547,123961,0,1,0,0,0.010276,-22404,-3585.0,-360,1,0,1,0,0,15,0,0,0.5769018553256324,0.5108529061800121,0.0,0.0,-270.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.2125384615384615,0.106122292210785
100637,216847,0,0,1,0,0.005002,-13671,-7609.0,-4169,1,0,1,0,0,18,0,0,0.5567918681667168,0.172495466777331,1.0,1.0,-3253.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.07564,0.037984091274305
121997,241446,0,1,0,1,0.018634,-17341,-7801.0,-890,1,1,1,0,0,13,0,0,0.7500493331485844,0.6109913280868294,0.0,0.0,-754.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0,0.3230769230769231,0.0293398533007334
1403,101646,1,0,1,0,0.019101,-15753,-5273.0,-4554,1,0,1,0,0,11,0,0,0.7414213103144254,0.100151820337239,1.0,0.0,-2022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0,0.1989818181818181,0.07296
188183,318165,0,0,0,1,0.072508,-9060,-841.0,-1722,1,1,1,1,0,15,0,1,0.3819147068768348,0.2636468134452008,0.0,0.0,-154.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.12928,0.0276239316239316
42488,149183,0,0,0,0,0.030755,-8066,-6462.0,-727,1,1,1,0,0,13,0,0,0.4771170542371593,0.2622489709189549,1.0,1.0,-683.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.2861176470588235,0.04864
84148,197617,1,0,1,0,0.022625,-13488,-503.0,-4122,1,0,1,0,0,11,0,0,0.0002412009627953,0.0914119938141264,0.0,0.0,-276.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0430714285714285,0.1206
43512,150375,0,1,0,0,0.030755,-14159,-3991.0,-4253,1,0,1,0,0,15,0,0,0.6024720140005432,0.7713615919194317,0.0,0.0,-3656.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.1417333333333333,0.0672784810126582
118189,237050,0,1,0,0,0.026392,-15203,-4744.0,-4790,1,1,1,1,0,12,0,0,0.6384571544954131,0.3740208032583212,1.0,1.0,-1759.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0,0.1827333333333333,0.05482
256517,396840,0,0,1,1,0.009549,-11937,-2589.0,-4181,1,0,1,0,0,12,0,0,0.7709533358486386,0.511891801533151,0.0,0.0,-1540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.121325,0.0294121212121212
220892,355894,0,1,0,0,0.01885,-21501,-14086.0,-3806,1,0,1,0,0,10,0,0,0.7433325916825244,0.4170996682522097,1.0,0.0,-1335.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.31155,0.0939308972503618
145331,268527,0,0,0,0,0.031329,-15866,-3999.0,-5065,1,0,1,0,0,13,0,1,0.632352775237644,0.6512602186973006,2.0,2.0,-1327.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3099,0.046485
134045,255464,0,0,0,0,0.00823,-12800,-5161.0,-5168,1,0,1,0,0,13,0,0,0.3263527221700446,0.6127042441012546,0.0,0.0,-487.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.3062,0.1081978798586572
305998,454536,0,1,0,0,0.0145199999999999,-20643,-12807.0,-3700,1,0,1,0,0,7,0,0,0.7416224925939265,0.4686596550493113,1.0,0.0,-1519.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0531666666666666,0.03828
83346,196673,0,1,0,0,0.01885,-24729,-2163.0,-2163,1,0,1,0,0,17,0,0,0.6239456387527669,0.5108529061800121,0.0,0.0,-1982.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.13995,0.0989045936395759
103212,219801,0,1,1,0,0.032561,-18976,-6575.0,-2505,1,0,1,0,0,10,0,0,0.6962514253734696,0.6006575372857061,0.0,0.0,-29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.1302,0.0324405132677214
231884,368592,0,0,0,0,0.0066709999999999,-9245,-3952.0,-1921,1,1,1,1,0,12,0,0,0.5260989685594651,0.4170996682522097,0.0,0.0,-1283.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.092125,0.0651060070671378
126902,247174,0,1,0,0,0.005313,-17466,-4991.0,-1008,1,1,1,0,0,9,0,0,0.7038322260605621,0.6296742509538716,0.0,0.0,-402.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,0.3136,0.0523539232053422
206966,339898,0,1,0,0,0.00733,-16306,-746.0,-4485,1,0,1,0,0,15,0,0,0.1738187331790573,0.3842068130556564,0.0,0.0,-1077.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.1445333333333333,0.0659688412852969
19541,122786,0,0,0,0,0.010032,-19225,-6705.0,-2618,1,0,1,0,0,8,0,1,0.5005649735400326,0.5691487713619409,0.0,0.0,-2040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.2261333333333333,0.0323973256924546
222283,357497,1,1,0,0,0.026392,-12796,-1111.0,-4795,1,0,1,1,1,14,0,0,0.7593154798629631,0.5954562029091491,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.1853666666666666,0.05561
107646,224886,0,1,0,0,0.019101,-16709,-4143.0,-263,1,0,1,1,0,9,0,0,0.6867118354971343,0.7281412993111438,0.0,0.0,-1748.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.3276363636363636,0.0673651155618276
264810,406656,0,1,0,1,0.035792,-13793,-7931.0,-3993,1,0,1,0,0,15,0,0,0.6153958787687298,0.1694287272664794,1.0,0.0,-1695.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.2897234042553192,0.0348324120236667
294621,441331,0,0,1,0,0.022625,-8441,-118.0,-1122,1,0,1,0,0,10,0,0,0.7227965754183766,0.5549467685334323,0.0,0.0,-835.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0666666666666666,0.05
259484,400299,0,1,0,0,0.007114,-15435,-9282.0,-5125,1,0,1,1,0,17,0,1,0.5343018892694713,0.3910549766342248,0.0,0.0,-492.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,3.0,0.1756296296296296,0.048939068692206
203322,335716,0,1,0,1,0.018801,-17959,-9801.0,-1499,1,0,1,1,0,8,0,0,0.5109721812458937,0.3217352821966848,0.0,0.0,-1071.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.1932333333333333,0.0322593210907067
25310,129438,0,0,1,0,0.00702,-10883,-1133.0,-3520,1,1,1,1,0,12,0,0,0.7432324485046221,0.5108529061800121,0.0,0.0,-2207.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.1978,0.0989
13548,115788,0,1,0,0,0.020713,-10315,-3000.0,-2559,1,0,1,0,0,9,0,0,0.3985323442612527,0.7338145369642702,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.1345217391304347,0.0289267015706806
74823,186780,0,1,0,1,0.0105,-11781,-6109.0,-2940,1,0,1,1,0,10,0,0,0.6219733110759039,0.4294236843421945,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.13732,0.0511190196107628
280602,425080,0,0,0,0,0.0145199999999999,-11220,-5008.0,-1573,1,1,1,1,0,10,0,0,0.6585855241413017,0.5262949398096192,0.0,0.0,-1379.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0,0.0400571428571428,0.0934666666666666
232525,369327,0,1,0,1,0.04622,-11592,-5509.0,-2714,1,0,1,0,0,9,0,0,0.6144845515469763,0.5108529061800121,0.0,0.0,-1899.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.2922333333333333,0.1028025328330206
13014,115168,0,1,1,0,0.010006,-14599,-1506.0,-1926,1,1,1,0,0,9,0,0,0.647846873001604,0.1766525794312139,0.0,0.0,-496.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.2143538461538461,0.0348325
262310,403648,0,0,1,1,0.0060079999999999,-11095,-1862.0,-2307,1,1,1,1,0,12,0,0,0.5801330843822179,0.5108529061800121,0.0,0.0,-1107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1210571428571428,0.0785211267605633
62397,172356,0,0,0,0,0.00733,-15474,-7532.0,-4902,1,0,1,0,0,11,0,0,0.2096117540842973,0.6879328378491735,0.0,0.0,-1666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.1052285714285714,0.0527650429799426
167347,293998,0,1,1,1,0.01885,-13102,-2590.0,-2586,1,1,1,1,0,12,0,0,0.4534226957685261,0.3910549766342248,0.0,0.0,-459.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0508064516129032,0.0370588235294117
229845,366224,1,0,0,0,0.035792,-18752,-3924.0,-2305,1,0,1,1,0,16,0,0,0.7333506305481906,0.3233112448967859,0.0,0.0,-1485.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.21145,0.0608454189686924
87200,201206,0,1,1,0,0.026392,-15162,-4015.0,-4688,1,0,1,1,0,12,0,0,0.6719850189417009,0.8038850611746273,0.0,0.0,-1582.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0,0.29035,0.1055818181818181
206615,339491,0,1,0,0,0.009549,-13506,-7579.0,-1986,1,0,1,0,0,12,0,0,0.6425858955396053,0.5064842396679806,0.0,0.0,-728.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1647894736842105,0.0535222824321783
102081,218511,0,0,1,1,0.0105,-11591,-4365.0,-4240,1,0,1,0,0,14,0,0,0.4417175730176106,0.5495965024956946,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,5.0,0.1444222222222222,0.0542487479131886
257780,398314,0,1,0,0,0.019101,-13928,-2371.0,-4026,1,0,1,0,0,9,0,0,0.6320985466965595,0.6109913280868294,0.0,0.0,-1935.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,5.0,0.0854,0.1005889281507656
250120,389395,0,1,0,0,0.0088659999999999,-23429,-8112.0,-4381,1,0,1,0,0,13,0,0,0.092118226250423,0.4794489811780563,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,4.0,0.2040666666666666,0.0355930232558139
232779,369614,0,1,0,1,0.019101,-10244,-3254.0,-2936,1,1,1,0,0,12,0,1,0.6256322115245299,0.4740512892789932,0.0,0.0,-1827.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,0.1808222222222222,0.0542466666666666
102409,218890,0,0,1,0,0.010032,-13935,-209.0,-4740,1,0,1,0,0,11,0,0,0.6772315474387064,0.4866531565147181,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1449090909090909,0.05767004341534
103302,219903,0,1,0,1,0.005002,-16365,-3848.0,-5660,1,0,1,0,0,15,0,0,0.4318143429194785,0.5108529061800121,0.0,0.0,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.46825,0.0293297839022862
