,SK_ID_CURR,TARGET,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_REGISTRATION,DAYS_ID_PUBLISH,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,HOUR_APPR_PROCESS_START,EXT_SOURCE_2,EXT_SOURCE_3,DEF_30_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,ANNUITY_INCOME_PERC,PAYMENT_RATE
117591,236360,0,1,0,0,0.018029,-10880,-1155.0,-2057,1,0,1,1,0,12,0.5644137237414711,0.2970866116472028,0.0,0.0,-1153.0,0.0,0.0,0.0,0.0,0.0,2.0,0.09786,0.0510538397328881
20614,124036,0,0,0,0,0.00963,-9395,-3604.0,-664,1,0,1,0,0,12,0.0751937445066866,0.5108529061800121,0.0,0.0,-2.0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.1,0.1060070671378092
142086,264749,0,1,0,0,0.04622,-16045,-10001.0,-4711,1,1,1,1,0,10,0.6681610570158047,0.5954562029091491,0.0,0.0,-732.0,0.0,0.0,0.0,0.0,1.0,5.0,0.22914,0.0347595773148021
116637,235266,0,1,0,0,0.00496,-13470,-7299.0,-4474,1,0,1,0,0,15,0.6222354949889561,0.5779691187553125,0.0,0.0,-1155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2353666666666667,0.0533872675034023
126842,247106,0,0,1,0,0.035792,-20150,-6818.0,-3710,1,0,1,1,1,14,0.6415757794917131,0.4992720153045617,0.0,0.0,-2910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05
85166,198816,0,0,0,0,0.00963,-19045,-6473.0,-1536,1,0,1,0,0,12,0.5217136609930119,0.7194907850918436,0.0,0.0,-395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14115,0.046614927344782
215482,349684,0,1,0,0,0.030755,-19746,-9664.0,-3265,1,0,1,0,0,10,0.6377703869625839,0.6178261467332483,0.0,0.0,-589.0,0.0,0.0,0.0,0.0,0.0,2.0,0.38036,0.0424964247407937
7629,108892,0,0,0,0,0.0196889999999999,-15561,-302.0,-4468,1,0,1,1,0,14,0.2027087521000192,0.4561097392782771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3171333333333333,0.0324532678400873
231497,368148,0,1,0,1,0.04622,-21800,-9406.0,-4320,1,0,1,0,0,14,0.6884874098824191,0.4014074137749511,0.0,0.0,-477.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0954857142857142,0.0512340947416832
174,100203,0,1,0,1,0.010276,-25104,-4182.0,-4210,1,0,1,0,0,9,0.6405140556837132,0.5442347412142162,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2055,0.0925328330206379
204157,336688,0,1,0,1,0.072508,-15513,-9615.0,-4708,1,0,1,1,0,10,0.7416727722243406,0.1862929496555374,0.0,0.0,-2466.0,0.0,0.0,0.0,0.0,1.0,3.0,0.2526551724137931,0.0347588889679546
19049,122217,0,1,0,1,0.007305,-21892,-8755.0,-5246,1,0,1,1,0,10,0.2235514363673728,0.5108529061800121,1.0,0.0,0.0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.1008,0.1008
20280,123664,0,0,1,0,0.018634,-11165,-817.0,-3461,1,1,1,1,0,10,0.5890860598207708,0.0926171713748545,0.0,0.0,-1929.0,0.0,0.0,0.0,0.0,1.0,2.0,0.2443666666666667,0.0388995012204181
91864,206676,0,0,1,1,0.025164,-20686,-4648.0,-4211,1,0,1,0,0,8,0.1279629106629592,0.4188542886233217,0.0,0.0,-1675.0,0.0,0.0,0.0,1.0,0.0,4.0,0.091076923076923,0.0488771466314399
261258,402392,1,1,0,0,0.035792,-22795,-1648.0,-1654,1,0,1,0,0,16,0.3542247319929012,0.3296550543128238,0.0,0.0,-1480.0,0.0,0.0,0.0,0.0,0.0,3.0,0.21228,0.0442881105575445
31114,136111,0,1,0,0,0.02461,-21612,-5745.0,-5116,1,0,1,1,0,16,0.2120530814238768,0.7407990879702335,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.1942,0.0324207011686143
128591,249162,0,1,0,0,0.035792,-15987,-8529.0,-4409,1,1,1,1,0,11,0.6786018822974562,0.7610263695502636,0.0,0.0,-434.0,0.0,0.0,0.0,0.0,0.0,2.0,0.21744,0.04810662041257
124900,244849,0,0,0,1,0.0145199999999999,-14902,-1824.0,-4668,1,0,1,0,0,10,0.637325707813493,0.7209441499436497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.212575,0.042515
241230,379326,1,1,0,0,0.019101,-23636,-2506.0,-4249,1,0,1,0,0,15,0.6949595985984184,0.1714683668967994,0.0,0.0,-337.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2061428571428572,0.0576337798653214
79463,192121,0,1,0,0,0.04622,-15570,-2034.0,-1797,1,0,1,1,0,10,0.7246635466557059,0.4382813743111921,0.0,0.0,-642.0,0.0,0.0,0.0,0.0,0.0,7.0,0.1336222222222222,0.1128142589118198
240778,378817,0,1,1,0,0.031329,-10892,-171.0,-2671,1,0,1,0,0,9,0.6370678883920091,0.4992720153045617,0.0,0.0,-1270.0,0.0,0.0,0.0,2.0,1.0,0.0,0.2253333333333333,0.0453164104397568
39690,145955,0,1,1,0,0.030755,-20007,-11184.0,-3415,1,0,1,1,0,10,0.0903990841454808,0.3606125659189888,0.0,0.0,-915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7696,0.0424755316800353
168624,295463,0,1,0,0,0.031329,-14043,-1069.0,-4852,1,0,1,0,0,15,0.6556638114687751,0.5406544504453575,0.0,0.0,-1067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1920769230769231,0.0658491561181434
3961,104632,0,0,0,0,0.014464,-16910,-9496.0,-452,1,0,1,0,0,4,0.6063097790756435,0.5028782772082183,0.0,0.0,-398.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1338,0.0672332849984925
154726,279354,0,0,1,0,0.00963,-14693,-785.0,-5173,1,0,1,0,0,12,0.6221121232190929,0.3927738606031339,0.0,0.0,-728.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0375,0.05
71188,182572,0,1,0,0,0.04622,-18451,-7848.0,-2001,1,0,1,0,0,11,0.7070719682481426,0.6722428897082422,0.0,0.0,-1127.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1714285714285714,0.0293398533007334
27476,131939,0,1,0,0,0.018029,-21811,-4575.0,-4841,1,0,1,0,0,9,0.5200600837632015,0.3139166772114369,0.0,0.0,-2635.0,0.0,0.0,0.0,0.0,0.0,5.0,0.2788285714285714,0.0441807612907899
84300,197800,0,1,0,0,0.00712,-18804,-6503.0,-2360,1,0,1,0,0,13,0.0404704239733053,0.6075573001388961,1.0,1.0,-2306.0,0.0,0.0,0.0,1.0,0.0,1.0,0.134,0.0471167369901547
136561,258398,0,1,0,0,0.006852,-13762,-6332.0,-4278,1,0,1,0,0,7,0.346673602821398,0.7267112092725122,1.0,0.0,-1751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0686625,0.0293919352767432
41310,147834,0,0,1,1,0.010556,-19395,-5534.0,-2729,1,0,1,0,0,16,0.2073348608186754,0.5108529061800121,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1522599999999999,0.0286571456534341
290239,436251,0,0,0,0,0.026392,-19889,-7601.0,-3088,1,0,1,0,0,13,0.5073871219285663,0.3622772470384314,0.0,0.0,-2129.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2188,0.0673230769230769
185023,314479,0,1,0,0,0.028663,-24822,-9550.0,-4581,1,0,1,1,1,9,0.6115899456525229,0.7544061731797895,0.0,0.0,-44.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1967333333333333,0.0983666666666666
304239,452494,0,1,1,0,0.022625,-9615,-2379.0,-860,1,0,1,0,0,8,0.4792887401810119,0.6006575372857061,0.0,0.0,-786.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0857142857142857,0.05
227276,363262,0,1,0,1,0.028663,-8457,-3684.0,-1139,1,0,1,0,1,12,0.4915454019708532,0.0509793333928262,0.0,0.0,-280.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0980571428571428,0.0682089196279513
252898,392640,0,1,0,1,0.018209,-17478,-815.0,-1021,1,0,1,1,0,9,0.4483064172834266,0.2340151665320674,0.0,0.0,-2573.0,0.0,0.0,0.0,2.0,0.0,1.0,0.3177826086956521,0.0293534136546184
216901,351324,0,1,0,0,0.030755,-15623,-8433.0,-5363,1,1,1,0,0,11,0.6953303300845306,0.4794489811780563,0.0,0.0,-1828.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3434666666666666,0.10304
77812,190215,0,1,0,1,0.0228,-10249,-4932.0,-522,1,0,1,1,0,13,0.4396801577349175,0.2127563054543414,0.0,0.0,-1336.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0834042553191489,0.049
237029,374548,0,1,0,0,0.031329,-16813,-4410.0,-354,1,0,1,0,0,12,0.514900227770726,0.5108529061800121,0.0,0.0,-1099.0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.3405833333333333,0.0616105885190545
307138,455839,0,1,1,0,0.072508,-20802,-8260.0,-4263,1,0,1,0,0,11,0.6103737189415331,0.8193176922872417,0.0,0.0,-1506.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0597066666666666,0.0443366336633663
193029,323848,0,1,0,1,0.026392,-13750,-7254.0,-4351,1,1,1,1,0,9,0.6536863245992444,0.6925590674998008,0.0,0.0,-2114.0,0.0,0.0,0.0,1.0,0.0,3.0,0.21185,0.04237
28382,132988,0,0,0,1,0.02461,-10591,-4744.0,-2927,1,0,1,0,0,14,0.6644903157935143,0.622922000268356,0.0,0.0,-2925.0,0.0,0.0,0.0,4.0,0.0,2.0,0.2468070175438596,0.0293572621035058
153415,277832,0,0,1,1,0.010006,-8107,-3107.0,-780,1,0,1,0,0,11,0.0710364316060612,0.6279908192952864,0.0,0.0,-468.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06126,0.05105
172768,300208,0,1,1,1,0.025164,-11850,-1669.0,-2355,1,0,1,0,0,14,0.4965085939980263,0.221335206354466,0.0,0.0,-1734.0,0.0,0.0,0.0,1.0,0.0,5.0,0.1266923076923077,0.0730240930735738
175730,303638,0,1,0,0,0.005084,-14869,-5776.0,-5050,1,0,1,0,0,10,0.6718548636303545,0.3296550543128238,0.0,0.0,-186.0,0.0,0.0,0.0,1.0,0.0,4.0,0.21444,0.0613442878066642
288972,434779,0,1,0,0,0.018029,-24059,-5128.0,-5124,1,0,1,1,0,13,0.1923160541736026,0.2366108235287817,0.0,0.0,-1946.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1181111111111111,0.0563427561837455
295823,442736,0,1,0,1,0.025164,-12057,-1042.0,-2148,1,0,1,0,0,10,0.4177574526878535,0.2020866016820394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1445333333333333,0.0659688412852969
204079,336601,0,1,0,0,0.04622,-16248,-3884.0,-4317,1,0,1,0,1,19,0.6883279277106003,0.5108529061800121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26242,0.0509110521332898
274734,418416,0,1,0,0,0.031329,-11778,-3725.0,-3738,1,0,1,0,0,10,0.3319053180639233,0.5108529061800121,0.0,0.0,-2007.0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.14165,0.1088108772468889
171522,298784,0,1,0,0,0.009334,-21641,-1089.0,-4875,1,1,1,0,0,13,0.5410585425983052,0.6161216908872079,0.0,0.0,-216.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1936,0.0484
105259,222140,0,0,1,0,0.006852,-8321,-4052.0,-996,1,0,1,0,0,13,0.1407419405146857,0.5797274227921155,0.0,0.0,-136.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1353166666666666,0.0323725373705636
205259,337937,0,1,0,1,0.009334,-11838,-1305.0,-1497,1,1,1,0,0,17,0.6538645172341441,0.3859146722745145,0.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0418571428571428,0.0517667844522968
220617,355582,0,1,1,0,0.018209,-14124,-3670.0,-3670,1,0,1,0,0,9,0.3994552522119179,0.8128226070575616,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0982333333333333,0.0491166666666666
268750,411448,0,1,0,0,0.008575,-12557,-2235.0,-3931,1,1,1,0,0,13,0.6464487200436645,0.6178261467332483,0.0,0.0,-1703.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09625,0.0518337013301739
57416,166541,0,0,0,1,0.00823,-16623,-9176.0,-175,1,0,1,0,0,10,0.5248393930975127,0.7407990879702335,0.0,0.0,-1024.0,0.0,0.0,0.0,0.0,1.0,4.0,0.09212,0.0581272084805653
19842,123142,0,1,1,1,0.025164,-14774,-3110.0,-4029,1,0,1,0,0,12,0.2653117484731741,0.7898803468924867,0.0,0.0,-1933.0,0.0,0.0,0.0,1.0,1.0,1.0,0.4075882352941176,0.0293601694915254
83809,197207,1,0,0,0,0.018209,-10333,-9164.0,-3004,1,0,1,0,0,8,0.4817232644961354,0.5108529061800121,0.0,0.0,-1507.0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.1581111111111111,0.035575
99709,215759,0,1,0,1,0.02461,-12278,-2125.0,-4315,1,0,1,1,0,13,0.6789308786991743,0.7062051096536562,0.0,0.0,-2000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.12885,0.0654659079361853
113099,231178,0,1,0,0,0.020246,-18059,-4119.0,-1605,1,1,1,0,0,4,0.5223847813966978,0.6910212267577837,0.0,0.0,-1494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1522,0.0376981505944517
107420,224634,1,0,1,1,0.028663,-18775,-4149.0,-2268,1,1,1,0,0,11,0.6459187633431258,0.4956658291397297,0.0,0.0,-627.0,0.0,0.0,0.0,0.0,0.0,4.0,0.1065441176470588,0.0483
211355,344928,0,1,0,0,0.031329,-8252,-4574.0,-937,1,0,1,0,0,14,0.486245178693936,0.5108529061800121,1.0,1.0,-761.0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.067875,0.1199204946996466
86942,200916,0,0,0,1,0.031329,-13858,-4389.0,-2404,1,0,1,1,1,14,0.7486487535516143,0.4722533429586386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.2688333333333333,0.0293434916753987
4927,105768,0,0,1,0,0.018029,-14163,-4346.0,-4346,1,0,1,0,0,8,0.4505248994106231,0.6940926425266661,1.0,0.0,-1816.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3103611111111111,0.0976703527252065
296095,443052,0,0,1,0,0.031329,-18058,-7305.0,-1615,1,0,1,0,0,15,0.6138212631454072,0.5108529061800121,0.0,0.0,-1402.0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.093325,0.0562741196333815
263683,405301,0,0,0,1,0.04622,-15861,-8109.0,-3181,1,1,1,1,0,15,0.7388262104849433,0.2580842039460289,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1277142857142857,0.0274987696299941
196612,327977,0,0,0,0,0.01885,-9040,-8417.0,-1700,1,0,1,0,0,13,0.6070924684257295,0.0759656813247684,0.0,0.0,-521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05
35561,141187,0,0,0,0,0.030755,-19573,-13673.0,-2646,1,0,1,0,0,10,0.6133909359834588,0.3979463219016906,0.0,0.0,-1156.0,0.0,0.0,0.0,0.0,0.0,2.0,0.227575,0.02933149454324
269279,412071,0,1,0,0,0.028663,-23629,-12776.0,-4004,1,0,1,0,0,14,0.0789447625263631,0.5352762504724826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1751333333333333,0.0292376182526432
70799,182123,0,1,0,0,0.025164,-22203,-1701.0,-4840,1,0,1,0,0,14,0.267499854799636,0.3185955240537633,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.1038,0.0973733583489681
38063,144079,0,1,0,0,0.0084739999999999,-20083,-6764.0,-3440,1,0,1,1,0,15,0.614303225745884,0.5726825047161584,0.0,0.0,-2635.0,0.0,0.0,1.0,0.0,0.0,2.0,0.1120888888888888,0.0513457388330143
133456,254786,0,1,0,0,0.003069,-21097,-5598.0,-4571,1,0,1,1,0,11,0.5500201080273096,0.7136313997323308,0.0,0.0,-1065.0,0.0,0.0,0.0,0.0,2.0,2.0,0.25686,0.0558391304347826
58927,168305,0,1,0,0,0.00496,-15616,-5002.0,-4801,1,1,1,1,0,12,0.4594176491226248,0.4812493411434029,0.0,0.0,-968.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1963666666666666,0.0486377146631439
220454,355397,0,0,1,0,0.0145199999999999,-18509,-4539.0,-1870,1,1,1,0,0,7,0.6324595292935209,0.6706517530862718,1.0,0.0,-1570.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1804285714285714,0.0293720930232558
182997,312105,0,1,0,0,0.072508,-24730,-3509.0,-941,1,0,1,1,0,17,0.3768278552034466,0.5108529061800121,0.0,0.0,-1.0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.1275599999999999,0.0563427561837455
145395,268598,0,1,0,0,0.0196889999999999,-21512,-11087.0,-5067,1,0,1,0,0,9,0.6895791278967615,0.4118485559242397,1.0,0.0,-1919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2403939393939393,0.0442068073913915
234063,371126,0,1,0,0,0.009334,-19043,-2801.0,-2502,1,0,1,0,0,14,0.7215988567264591,0.5424451438613613,1.0,1.0,-1018.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2379666666666666,0.0425396257895364
243286,381644,1,1,0,1,0.0145199999999999,-15987,-1628.0,-4142,1,1,1,0,1,12,0.6289349453836629,0.5744466170995097,4.0,2.0,-1762.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0526444444444444,0.1076818181818181
236870,374367,1,0,1,1,0.010147,-10640,-4794.0,-3082,1,0,1,0,0,9,0.2251725641556083,0.4382813743111921,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.05
10923,112716,0,1,0,1,0.025164,-14431,-5366.0,-4145,1,0,1,0,0,13,0.5675990837973071,0.5190973382084597,0.0,0.0,-1838.0,0.0,0.0,0.0,0.0,0.0,2.0,0.1832666666666666,0.0561295328324077
81815,194876,0,0,1,0,0.072508,-14407,-7118.0,-77,1,0,1,0,0,12,0.6157839829027676,0.2458512138252296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144075,0.038945504676434
104527,221309,0,0,0,1,0.072508,-10229,-4495.0,-2830,1,1,1,1,0,13,0.4747717347711582,0.4311917977993083,0.0,0.0,-1490.0,0.0,0.0,0.0,2.0,0.0,2.0,0.06844,0.107004377736085
259110,399862,0,1,1,0,0.0038179999999999,-17239,-6246.0,-800,1,1,1,1,0,9,0.6402572234411608,0.7338145369642702,1.0,1.0,-1881.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1081222222222222,0.0560025322283609
260893,401928,0,1,0,0,0.016612,-24339,-8467.0,-4606,1,0,1,0,0,15,0.7084469593546422,0.5108529061800121,0.0,0.0,-336.0,0.0,0.0,0.0,0.0,2.0,6.0,0.1399333333333333,0.0700834724540901
80137,192906,1,1,0,0,0.025164,-22504,-7201.0,-4788,1,0,1,0,0,13,0.6145415330957701,0.5656079814115492,0.0,0.0,-1876.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0995555555555555,0.032463768115942
21947,125567,0,0,0,0,0.0031219999999999,-22781,-4616.0,-2021,1,0,1,0,0,14,0.1291363133708717,0.5046813193144684,0.0,0.0,-329.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0697428571428571,0.0529868889467743
165894,292314,0,0,1,1,0.035792,-23405,-9634.0,-4909,1,0,1,0,0,9,0.3605575614639861,0.8106180215523969,0.0,0.0,-2442.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3307333333333333,0.093076923076923
41300,147822,0,1,1,0,0.010147,-14580,-3768.0,-723,1,1,1,1,0,13,0.2409311418350297,0.5108529061800121,0.0,0.0,0.0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.0865,0.0489715040573693
43274,150090,0,1,1,1,0.035792,-18093,-698.0,-1560,1,0,1,1,0,14,0.7417356127948918,0.4902575124990026,0.0,0.0,-1339.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1805,0.0264792176039119
190668,321082,0,1,0,0,0.00733,-17879,-9874.0,-1407,1,0,1,0,1,11,0.4413670821444018,0.5172965813614878,1.0,1.0,-71.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2671666666666666,0.0863499245852187
217770,352319,0,0,0,0,0.072508,-15192,-2129.0,-4753,1,0,1,1,1,12,0.5900755539258112,0.5108529061800121,0.0,0.0,-485.0,0.0064024481939306,0.0070002105326475,0.0343619356973142,0.2673952600078197,0.2654741495984841,1.899974435321363,0.23488,0.066825992944122
157485,282553,0,0,0,0,0.010966,-11898,-10241.0,-2718,1,0,1,0,0,15,0.5956072580783142,0.5136937663039473,0.0,0.0,-1689.0,0.0,0.0,0.0,0.0,0.0,3.0,0.1762153846153846,0.0511887736860922
139064,261249,0,1,0,0,0.01885,-16819,-4989.0,-367,1,0,1,1,0,12,0.664977662602224,0.6161216908872079,0.0,0.0,-1967.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13824,0.037696335078534
213256,347130,0,0,1,0,0.026392,-14571,-148.0,-4911,1,0,1,1,0,14,0.2891590687640371,0.722392890081304,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.2275777777777777,0.051205
91813,206618,0,1,0,0,0.001417,-16416,-7358.0,-5034,1,0,1,0,0,7,0.5845740713415674,0.6380435278721609,0.0,0.0,-1763.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0638799999999999,0.0998125
143046,265860,0,1,0,0,0.008019,-18648,-7228.0,-1991,1,0,1,0,0,14,0.2716030155038996,0.5442347412142162,0.0,0.0,-40.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1729428571428571,0.0465615384615384
